dataset,noise_type,initial_noise,slope,stderr,corr,threshold,p_value,combine
g241n,pair,0.1,0.0010666661999999738,0.00281228513940227,0.14190664458136806,0.1,0.0000,g241n_pair_0.1
g241n,pair,0.2,0.00551111093333335,0.002851479444814167,0.5898745653921516,0.1,0.0000,g241n_pair_0.2
g241n,pair,0.3,0.01386666653333332,0.0028428236448048536,0.8790185587810195,0.1,0.0000,g241n_pair_0.3
g241c,instance,0.0,0.29797777766666667,0.004078007710456059,0.9993451081452538,0.1,1.0000,g241c_instance_0.0
g241c,instance,0.1,0.2691333335666665,0.004354964325187053,0.999084821597716,0.1,1.0000,g241c_instance_0.1
g241c,instance,0.2,0.23519999973333341,0.0040255269450856284,0.9989763025800688,0.1,1.0000,g241c_instance_0.2
g241c,instance,0.3,0.19884444443333332,0.006312213809963449,0.996491558104318,0.1,1.0000,g241c_instance_0.3
g241c,sym,0.0,0.36462222216666657,0.005576569811649429,0.9991823204443037,0.1,1.0000,g241c_sym_0.0
g241c,sym,0.1,0.3150444445666667,0.00628249900592223,0.9986110593063697,0.1,1.0000,g241c_sym_0.1
g241c,sym,0.2,0.25044444450000003,0.006327863528923547,0.9977730685707975,0.1,1.0000,g241c_sym_0.2
g241c,sym,0.3,0.19226666666666672,0.006145268708378542,0.9964435218197275,0.1,1.0000,g241c_sym_0.3
g241c,pair,0.0,0.36348888890000003,0.006973491431380131,0.9987142749541505,0.1,1.0000,g241c_pair_0.0
g241c,pair,0.1,0.3225333335,0.006897267518235839,0.9984032687374472,0.1,1.0000,g241c_pair_0.1
g241c,pair,0.2,0.2838222222333333,0.009666427129944467,0.9959647330730724,0.1,1.0000,g241c_pair_0.2
g241c,pair,0.3,0.22811111110000018,0.008284257594480706,0.9954155437280402,0.1,1.0000,g241c_pair_0.3
digit1,instance,0.0,0.6005333334666667,0.005740522907551849,0.9996803398954551,0.1,1.0000,digit1_instance_0.0
digit1,instance,0.1,0.5538666665333334,0.005426678808109448,0.9996641796486199,0.1,1.0000,digit1_instance_0.1
digit1,instance,0.2,0.43608888913333343,0.005340718037838667,0.9994754637684511,0.1,1.0000,digit1_instance_0.2
digit1,instance,0.3,0.28435555553333325,0.006424365796703471,0.9982182645255235,0.1,1.0000,digit1_instance_0.3
digit1,sym,0.0,0.7301333332000001,0.006304206714768452,0.9997391717409859,0.1,1.0000,digit1_sym_0.0
digit1,sym,0.1,0.5932444445333335,0.005493862681245774,0.9996999726818004,0.1,1.0000,digit1_sym_0.1
digit1,sym,0.2,0.43919999993333336,0.005195557270293953,0.9995105720924192,0.1,1.0000,digit1_sym_0.2
digit1,sym,0.3,0.2864000002666668,0.006190106084371695,0.9983689972819186,0.1,1.0000,digit1_sym_0.3
digit1,pair,0.0,0.7301333332000001,0.006304206714768452,0.9997391717409859,0.1,1.0000,digit1_pair_0.0
digit1,pair,0.1,0.5932444445333335,0.005493862681245774,0.9996999726818004,0.1,1.0000,digit1_pair_0.1
digit1,pair,0.2,0.43919999993333336,0.005195557270293953,0.9995105720924192,0.1,1.0000,digit1_pair_0.2
digit1,pair,0.3,0.2864000002666668,0.006190106084371695,0.9983689972819186,0.1,1.0000,digit1_pair_0.3
usps,instance,0.0,0.2825777776,0.0035239067847464794,0.9994561408336844,0.1,1.0000,usps_instance_0.0
usps,instance,0.1,0.2414222221333334,0.004945302206831721,0.9985346417327879,0.1,1.0000,usps_instance_0.1
usps,instance,0.2,0.19048888873333333,0.00525857653721446,0.9973433654471586,0.1,1.0000,usps_instance_0.2
usps,instance,0.3,0.11680000020000013,0.008162477084132818,0.9833328331801162,0.1,0.9632,usps_instance_0.3
usps,sym,0.0,0.3321777779333334,0.002975138977140619,0.9997193541955035,0.1,1.0000,usps_sym_0.0
usps,sym,0.1,0.2706666669333333,0.002745056013945124,0.9996401955955901,0.1,1.0000,usps_sym_0.1
usps,sym,0.2,0.18915555526666666,0.007420023081195884,0.9946574437470952,0.1,1.0000,usps_sym_0.2
usps,sym,0.3,0.12115555600000007,0.005246578379864475,0.9935004468904125,0.1,0.9981,usps_sym_0.3
usps,pair,0.0,0.3321777779333334,0.002975138977140619,0.9997193541955035,0.1,1.0000,usps_pair_0.0
usps,pair,0.1,0.2706666669333333,0.002745056013945124,0.9996401955955901,0.1,1.0000,usps_pair_0.1
usps,pair,0.2,0.18915555526666666,0.007420023081195884,0.9946574437470952,0.1,1.0000,usps_pair_0.2
usps,pair,0.3,0.12115555600000007,0.005246578379864475,0.9935004468904125,0.1,0.9981,usps_pair_0.3
coil,instance,0.0,0.2055333331666666,0.005028869022925097,0.9979112723391482,0.1,1.0000,coil_instance_0.0
coil,instance,0.1,0.18117777780000008,0.005239951925279044,0.9970851868114623,0.1,1.0000,coil_instance_0.1
coil,instance,0.2,0.16888888913333336,0.005473295701847154,0.9963442447961246,0.1,1.0000,coil_instance_0.2
coil,instance,0.3,0.13911111126666675,0.005868878792416074,0.9938280911067424,0.1,0.9999,coil_instance_0.3
coil,sym,0.0,0.20299999979999991,0.005165264035973153,0.9977416673723049,0.1,1.0000,coil_sym_0.0
coil,sym,0.1,0.17657777769999997,0.0035648424587651187,0.9985765292240695,0.1,1.0000,coil_sym_0.1
coil,sym,0.2,0.14866666660000002,0.005095997912161342,0.9959127579972471,0.1,1.0000,coil_sym_0.2
coil,sym,0.3,0.12700000013333324,0.003829048335279913,0.9968335275942344,0.1,0.9999,coil_sym_0.3
coil,pair,0.0,0.20317777790000005,0.00452127505742325,0.9982713374267547,0.1,1.0000,coil_pair_0.0
coil,pair,0.1,0.18193333310000012,0.0048064550729243274,0.9975660847174919,0.1,1.0000,coil_pair_0.1
coil,pair,0.2,0.1623777779666666,0.002969462351718016,0.9988315535616581,0.1,1.0000,coil_pair_0.2
coil,pair,0.3,0.1480666669,0.003159759424946701,0.9984098991858539,0.1,1.0000,coil_pair_0.3
coil2,instance,0.0,0.037599999600000156,0.004478199874064949,0.9537680865783758,0.1,0.0000,coil2_instance_0.0
coil2,instance,0.1,0.031288889266666745,0.005142274591621634,0.9170559641832333,0.1,0.0000,coil2_instance_0.1
coil2,instance,0.2,0.028711111000000015,0.0017076649742257485,0.9878438041317428,0.1,0.0000,coil2_instance_0.2
coil2,instance,0.3,0.03013333333333338,0.0024927030540081315,0.9768769629195144,0.1,0.0000,coil2_instance_0.3
