noise_rate,error_rate,dataset,noise_type,causal,initial_noise,seed
0.1,0.35215,yxguassian,pair,0,0.4,3
0.2,0.2813,yxguassian,pair,0,0.4,3
0.3,0.2051,yxguassian,pair,0,0.4,3
0.4,0.1295,yxguassian,pair,0,0.4,3
0.5,0.5015,yxguassian,pair,0,0.4,3
0.6,0.8705,yxguassian,pair,0,0.4,3
0.7,0.7949,yxguassian,pair,0,0.4,3
0.8,0.7187,yxguassian,pair,0,0.4,3
0.9,0.64785,yxguassian,pair,0,0.4,3
0.1,0.64785,yxguassian,pair,0,0.6,3
0.2,0.7187,yxguassian,pair,0,0.6,3
0.3,0.7949,yxguassian,pair,0,0.6,3
0.4,0.8705,yxguassian,pair,0,0.6,3
0.5,0.5015,yxguassian,pair,0,0.6,3
0.6,0.1295,yxguassian,pair,0,0.6,3
0.7,0.2051,yxguassian,pair,0,0.6,3
0.8,0.2813,yxguassian,pair,0,0.6,3
0.9,0.35215,yxguassian,pair,0,0.6,3
0.1,0.72345,yxguassian,pair,0,0.7,3
0.2,0.7943,yxguassian,pair,0,0.7,3
0.3,0.8705,yxguassian,pair,0,0.7,3
0.4,0.7949,yxguassian,pair,0,0.7,3
0.5,0.5015,yxguassian,pair,0,0.7,3
0.6,0.2051,yxguassian,pair,0,0.7,3
0.7,0.1295,yxguassian,pair,0,0.7,3
0.8,0.2057,yxguassian,pair,0,0.7,3
0.9,0.27655,yxguassian,pair,0,0.7,3
0.1,0.79965,yxguassian,pair,0,0.8,3
0.2,0.8705,yxguassian,pair,0,0.8,3
0.3,0.7943,yxguassian,pair,0,0.8,3
0.4,0.7187,yxguassian,pair,0,0.8,3
0.5,0.5015,yxguassian,pair,0,0.8,3
0.6,0.2813,yxguassian,pair,0,0.8,3
0.7,0.2057,yxguassian,pair,0,0.8,3
0.8,0.1295,yxguassian,pair,0,0.8,3
0.9,0.20035,yxguassian,pair,0,0.8,3
0.1,0.8705,yxguassian,pair,0,0.9,3
0.2,0.79965,yxguassian,pair,0,0.9,3
0.3,0.72345,yxguassian,pair,0,0.9,3
0.4,0.64785,yxguassian,pair,0,0.9,3
0.5,0.5015,yxguassian,pair,0,0.9,3
0.6,0.35215,yxguassian,pair,0,0.9,3
0.7,0.27655,yxguassian,pair,0,0.9,3
0.8,0.20035,yxguassian,pair,0,0.9,3
0.9,0.1295,yxguassian,pair,0,0.9,3
0.1,0.12945,yxguassian,sym,0,0.1,1
0.2,0.2029,yxguassian,sym,0,0.1,1
0.3,0.2787,yxguassian,sym,0,0.1,1
0.4,0.3517,yxguassian,sym,0,0.1,1
0.5,0.50225,yxguassian,sym,0,0.1,1
0.6,0.6483,yxguassian,sym,0,0.1,1
0.7,0.7213,yxguassian,sym,0,0.1,1
0.8,0.7971,yxguassian,sym,0,0.1,1
0.9,0.87055,yxguassian,sym,0,0.1,1
0.1,0.2029,yxguassian,sym,0,0.2,1
0.2,0.12945,yxguassian,sym,0,0.2,1
0.3,0.20525,yxguassian,sym,0,0.2,1
0.4,0.27825,yxguassian,sym,0,0.2,1
0.5,0.50225,yxguassian,sym,0,0.2,1
0.6,0.72175,yxguassian,sym,0,0.2,1
0.7,0.79475,yxguassian,sym,0,0.2,1
0.8,0.87055,yxguassian,sym,0,0.2,1
0.9,0.7971,yxguassian,sym,0,0.2,1
0.1,0.2787,yxguassian,sym,0,0.3,1
0.2,0.20525,yxguassian,sym,0,0.3,1
0.3,0.12945,yxguassian,sym,0,0.3,1
0.4,0.20245,yxguassian,sym,0,0.3,1
0.5,0.50225,yxguassian,sym,0,0.3,1
0.6,0.79755,yxguassian,sym,0,0.3,1
0.7,0.87055,yxguassian,sym,0,0.3,1
0.8,0.79475,yxguassian,sym,0,0.3,1
0.9,0.7213,yxguassian,sym,0,0.3,1
0.1,0.3517,yxguassian,sym,0,0.4,1
0.2,0.27825,yxguassian,sym,0,0.4,1
0.3,0.20245,yxguassian,sym,0,0.4,1
0.4,0.12945,yxguassian,sym,0,0.4,1
0.5,0.50225,yxguassian,sym,0,0.4,1
0.6,0.87055,yxguassian,sym,0,0.4,1
0.7,0.79755,yxguassian,sym,0,0.4,1
0.8,0.72175,yxguassian,sym,0,0.4,1
0.9,0.6483,yxguassian,sym,0,0.4,1
0.1,0.6483,yxguassian,sym,0,0.6,1
0.2,0.72175,yxguassian,sym,0,0.6,1
0.3,0.79755,yxguassian,sym,0,0.6,1
0.4,0.87055,yxguassian,sym,0,0.6,1
0.5,0.50225,yxguassian,sym,0,0.6,1
0.6,0.12945,yxguassian,sym,0,0.6,1
0.7,0.20245,yxguassian,sym,0,0.6,1
0.8,0.27825,yxguassian,sym,0,0.6,1
0.9,0.3517,yxguassian,sym,0,0.6,1
0.1,0.7213,yxguassian,sym,0,0.7,1
0.2,0.79475,yxguassian,sym,0,0.7,1
0.3,0.87055,yxguassian,sym,0,0.7,1
0.4,0.79755,yxguassian,sym,0,0.7,1
0.5,0.50225,yxguassian,sym,0,0.7,1
0.6,0.20245,yxguassian,sym,0,0.7,1
0.7,0.12945,yxguassian,sym,0,0.7,1
0.8,0.20525,yxguassian,sym,0,0.7,1
0.9,0.2787,yxguassian,sym,0,0.7,1
0.1,0.7971,yxguassian,sym,0,0.8,1
0.2,0.87055,yxguassian,sym,0,0.8,1
0.3,0.79475,yxguassian,sym,0,0.8,1
0.4,0.72175,yxguassian,sym,0,0.8,1
0.5,0.50225,yxguassian,sym,0,0.8,1
0.6,0.27825,yxguassian,sym,0,0.8,1
0.7,0.20525,yxguassian,sym,0,0.8,1
0.8,0.12945,yxguassian,sym,0,0.8,1
0.9,0.2029,yxguassian,sym,0,0.8,1
0.1,0.87055,yxguassian,sym,0,0.9,1
0.2,0.7971,yxguassian,sym,0,0.9,1
0.3,0.7213,yxguassian,sym,0,0.9,1
0.4,0.6483,yxguassian,sym,0,0.9,1
0.5,0.50225,yxguassian,sym,0,0.9,1
0.6,0.3517,yxguassian,sym,0,0.9,1
0.7,0.2787,yxguassian,sym,0,0.9,1
0.8,0.2029,yxguassian,sym,0,0.9,1
0.9,0.12945,yxguassian,sym,0,0.9,1
0.1,0.1296,yxguassian,sym,0,0.1,2
0.2,0.2045,yxguassian,sym,0,0.1,2
